JD,Year,Month,Day,f10_7,f30
2433954,1951,11,1,107.3,70.4
2433955,1951,11,2,104.7,69.3
2433956,1951,11,3,106.1,68.5
2433957,1951,11,4,107.2,65.9
2433958,1951,11,5,114.0,71.1
2433959,1951,11,6,114.1,73.2
2433960,1951,11,7,113.9,71.8
2433961,1951,11,8,112.5,72.2
2433962,1951,11,9,113.3,72.2
2433963,1951,11,10,112.7,73.4
2433964,1951,11,11,112.1,74.8
2433965,1951,11,12,103.2,71.3
2433966,1951,11,13,98.9,67.1
2433967,1951,11,14,100.6,64.2
2433968,1951,11,15,100.8,65.1
2433969,1951,11,16,99.9,66.5
2433970,1951,11,17,102.0,66.7
2433971,1951,11,18,98.7,66.5
2433972,1951,11,19,97.7,65.5
2433973,1951,11,20,98.6,65.5
2433974,1951,11,21,97.4,66.1
2433975,1951,11,22,99.9,66.0
2433976,1951,11,23,101.7,67.1
2433977,1951,11,24,102.2,65.8
2433978,1951,11,25,101.2,65.7
2433979,1951,11,26,102.2,66.2
2433980,1951,11,27,104.1,67.8
2433981,1951,11,28,107.3,67.3
2433982,1951,11,29,104.7,67.8
2433983,1951,11,30,110.7,69.2
2433984,1951,12,1,104.0,71.8
2433985,1951,12,2,98.0,69.2
2433986,1951,12,3,94.9,66.5
2433987,1951,12,4,95.0,63.8
2433988,1951,12,5,92.3,61.2
2433989,1951,12,6,84.8,59.3
2433990,1951,12,7,89.0,57.9
2433991,1951,12,8,87.8,60.6
2433992,1951,12,9,85.6,62.9
2433993,1951,12,10,87.7,61.7
2433994,1951,12,11,86.4,63.0
2433995,1951,12,12,90.8,62.3
2433996,1951,12,13,91.9,62.3
2433997,1951,12,14,97.2,63.3
2433998,1951,12,15,104.5,65.9
2433999,1951,12,16,106.3,67.1
2434000,1951,12,17,108.0,67.7
2434001,1951,12,18,105.3,65.6
2434002,1951,12,19,115.6,62.3
2434003,1951,12,20,116.8,66.5
2434004,1951,12,21,127.4,70.0
2434005,1951,12,22,130.6,76.2
2434006,1951,12,23,129.3,75.3
2434007,1951,12,24,121.2,75.1
2434008,1951,12,25,119.3,74.5
2434009,1951,12,26,114.7,73.2
2434010,1951,12,27,107.0,70.7
2434011,1951,12,28,108.7,68.8
2434012,1951,12,29,106.6,69.9
2434013,1951,12,30,106.4,69.3
2434014,1951,12,31,105.0,69.2
2434015,1952,1,1,100.5,67.5
2434016,1952,1,2,95.2,64.6
2434017,1952,1,3,89.3,62.9
2434018,1952,1,4,88.0,61.4
2434019,1952,1,5,89.5,62.0
2434020,1952,1,6,88.9,61.4
2434021,1952,1,7,89.6,60.2
2434022,1952,1,8,96.5,62.5
2434023,1952,1,9,104.2,64.7
2434024,1952,1,10,110.1,67.3
2434025,1952,1,11,112.2,70.5
2434026,1952,1,12,114.1,71.7
2434027,1952,1,13,113.5,71.8
2434028,1952,1,14,112.2,70.4
2434029,1952,1,15,108.2,68.2
2434030,1952,1,16,97.1,65.3
2434031,1952,1,17,99.3,60.4
2434032,1952,1,18,90.7,61.0
2434033,1952,1,19,91.3,59.8
2434034,1952,1,20,96.6,63.1
2434035,1952,1,21,93.9,63.6
2434036,1952,1,22,88.4,65.2
2434037,1952,1,23,107.9,67.0
2434038,1952,1,24,90.0,67.9
2434039,1952,1,25,87.9,59.1
2434040,1952,1,26,92.5,59.6
2434041,1952,1,27,90.0,62.7
2434042,1952,1,28,86.3,60.0
2434043,1952,1,29,85.7,59.5
2434044,1952,1,30,84.9,60.6
2434044,1952,2,1,83.8,60.8
2434045,1952,1,31,82.5,60.8
2434045,1952,2,2,83.5,60.9
2434046,1952,2,3,80.8,57.9
2434047,1952,2,4,82.9,56.0
2434048,1952,2,5,89.8,59.8
2434049,1952,2,6,87.7,61.7
2434050,1952,2,7,89.4,61.4
2434051,1952,2,8,88.3,62.1
2434052,1952,2,9,90.2,61.8
2434053,1952,2,10,89.0,61.8
2434054,1952,2,11,90.5,61.3
2434055,1952,2,12,88.5,60.6
2434056,1952,2,13,95.3,59.3
2434057,1952,2,14,96.7,61.9
2434058,1952,2,15,100.6,62.8
2434059,1952,2,16,101.8,65.8
2434060,1952,2,17,104.1,65.3
2434061,1952,2,18,104.0,68.6
2434062,1952,2,19,96.7,65.5
2434063,1952,2,20,89.5,60.8
2434064,1952,2,21,86.8,59.4
2434065,1952,2,22,79.7,57.5
2434066,1952,2,23,80.7,56.1
2434067,1952,2,24,80.8,58.9
2434068,1952,2,25,79.6,57.6
2434069,1952,2,26,72.5,56.2
2434070,1952,2,27,71.7,53.9
2434071,1952,2,28,71.2,53.5
2434072,1952,2,29,69.5,53.1
2434074,1952,3,1,71.2,52.7
2434075,1952,3,2,70.6,53.3
2434076,1952,3,3,71.6,53.8
2434077,1952,3,4,71.1,53.7
2434078,1952,3,5,75.3,53.5
2434079,1952,3,6,75.9,54.8
2434080,1952,3,7,74.9,54.4
2434081,1952,3,8,78.2,54.5
2434082,1952,3,9,80.2,56.8
2434083,1952,3,10,82.1,56.5
2434084,1952,3,11,80.3,56.7
2434085,1952,3,12,82.9,57.1
2434086,1952,3,13,86.5,58.1
2434087,1952,3,14,84.5,59.5
2434088,1952,3,15,81.9,58.3
2434089,1952,3,16,81.1,58.6
2434090,1952,3,17,80.3,57.3
2434091,1952,3,18,78.7,56.7
2434092,1952,3,19,76.5,56.9
2434093,1952,3,20,76.4,56.2
2434094,1952,3,21,77.0,57.4
2434095,1952,3,22,70.7,55.8
2434096,1952,3,23,71.7,53.6
